Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,Patrick Bailey,24,97,353,326,29,76,18,1,7,48,1,0,21,100,0.233,0.285,0.359,0.644,77,117,8,3,2,1,0,Right,Yes
2,2023,1B,LaMonte Wade Jr.,29,135,519,429,64,110,14,2,17,45,2,0,76,95,0.256,0.373,0.417,0.79,119,179,4,6,4,4,3,Left,No
3,2023,2B,Thairo Estrada,27,120,530,495,63,134,26,2,14,49,23,7,22,120,0.271,0.315,0.416,0.731,101,206,10,11,0,2,1,Right,No
4,2023,SS,Brandon Crawford,36,93,320,283,31,55,11,1,7,38,3,0,28,81,0.194,0.273,0.314,0.587,63,89,5,4,1,4,1,Left,No
5,2023,3B,J.D. Davis,30,144,546,480,61,119,23,1,18,69,1,0,52,152,0.248,0.325,0.413,0.738,103,198,16,6,0,6,0,Right,No
6,2023,LF,Mitch Haniger,32,61,229,211,27,44,13,1,6,28,1,0,15,65,0.209,0.266,0.365,0.631,73,77,7,2,0,1,0,Right,No
7,2023,CF,Luis Matos,21,76,253,228,24,57,13,1,2,14,3,0,20,33,0.25,0.319,0.342,0.661,84,78,3,3,2,0,0,Right,No
8,2023,RF,Michael Conforto,30,125,470,406,58,97,14,0,15,58,4,0,53,106,0.239,0.334,0.384,0.718,99,156,12,7,0,4,4,Left,No
9,2023,DH,Joc Pederson,31,121,425,358,59,84,14,3,15,51,0,0,57,89,0.235,0.348,0.416,0.764,111,149,12,7,0,3,6,Left,No
10,2023,1B,Wilmer Flores,31,126,454,405,51,115,22,0,23,60,0,0,41,63,0.284,0.355,0.509,0.863,136,206,13,5,0,3,1,Right,No
11,2023,OF,Mike Yastrzemski,32,106,381,330,54,77,23,1,15,43,2,2,45,99,0.233,0.33,0.445,0.775,113,147,5,3,2,1,3,Left,No
12,2023,UT,Blake Sabol,25,110,344,310,36,73,10,0,13,44,4,2,24,117,0.235,0.301,0.394,0.695,91,122,4,6,2,2,0,Left,No
13,2023,IF,Casey Schmitt,24,90,277,253,28,52,15,0,5,30,2,1,13,65,0.206,0.255,0.324,0.58,60,82,7,5,3,3,0,Right,No
